texto,categoria,prioridade,cliente
"o pipeline de ETL parou de rodar ontem à noite e os dados não estão chegando no BigQuery",incidente,alta,Radar
"a tabela de pedidos está vazia desde ontem, a última carga falhou",incidente,alta,Forja
"o dashboard de faturamento está fora do ar e o time financeiro não consegue acessar",incidente,alta,Nexus
"os dados de transações do dia estão com valores inconsistentes com o sistema de origem",incidente,alta,Radar
"a view de vendas está retornando registros duplicados desde a madrugada",incidente,alta,Forja
"o pipeline de integração com a API do cliente parou de funcionar",incidente,alta,Nexus
"erro crítico no processo de carga noturna, zero registros foram inseridos",incidente,alta,Radar
"a tabela fato_pedidos não atualiza desde sexta-feira",incidente,alta,Forja
"dados de clientes sumiram da tabela após a manutenção do fim de semana",incidente,alta,Nexus
"integração com o ERP caiu e os dados estão desatualizados há 6 horas",incidente,alta,Radar
"pipeline quebrou depois da atualização que fizeram ontem",incidente,alta,Forja
"a carga de dados de NF está falhando com erro de schema",incidente,alta,Nexus
"BigQuery está retornando erro de timeout na query principal do dashboard",incidente,alta,Radar
"os KPIs do painel executivo estão com valores zerados",incidente,alta,Forja
"falha na replicação dos dados do banco transacional para o data warehouse",incidente,alta,Nexus
"job de transformação dbt falhou com erro de referência de modelo",incidente,alta,Radar
"dados de ontem ainda não chegaram no BigQuery, pipeline está travado",incidente,alta,Forja
"erro de permissão no GCS impedindo a carga do arquivo diário",incidente,alta,Nexus
"o campo valor_total está sendo calculado errado desde a última sexta",incidente,alta,Radar
"o processo de deduplicação rodou errado e apagou registros válidos",incidente,alta,Forja
"a tabela de estoque não está sendo atualizada conforme combinado",incidente,alta,Nexus
"o dashboard mobile não carrega os dados, dando timeout na consulta",incidente,alta,Radar
"a atualização automática do painel parou após mudança no esquema da tabela",incidente,alta,Forja
"o pipeline de dados de RH falhou e os relatórios do RH estão desatualizados",incidente,alta,Nexus
"os relatórios de margem estão com números negativos sem motivo aparente",incidente,alta,Radar
"o relatório semanal de RH chegou com atraso de 2 horas hoje",incidente,media,Forja
"algumas linhas da tabela de clientes estão com CEP nulo",incidente,media,Nexus
"o filtro de data no dashboard não está funcionando corretamente",incidente,media,Radar
"o gráfico de linha do painel de vendas quebra para datas acima de 90 dias",incidente,media,Forja
"o export de CSV do relatório está gerando arquivo corrompido",incidente,media,Nexus
"a atualização do painel está demorando 40 minutos, muito acima do normal",incidente,media,Radar
"uma das colunas do relatório mensal está aparecendo em branco",incidente,media,Forja
"o campo de margem de lucro está mostrando percentual incorreto em alguns registros",incidente,media,Nexus
"os dados de filial nova não estão aparecendo no painel geral",incidente,media,Radar
"o agendamento do relatório mudou de horário sozinho",incidente,media,Forja
"como faço para filtrar os dados por período no dashboard?",duvida,baixa,Radar
"qual a frequência de atualização dos dados na tabela de transações?",duvida,baixa,Nexus
"como interpretar o campo status_pagamento na tabela de pedidos?",duvida,baixa,Forja
"onde consigo ver o histórico de alterações de um registro?",duvida,baixa,Radar
"como exportar os dados do dashboard para Excel?",duvida,baixa,Nexus
"qual o significado do campo tipo_cliente na tabela de cadastro?",duvida,baixa,Forja
"como funciona o cálculo de margem que está no painel financeiro?",duvida,baixa,Radar
"o relatório de segunda vem atualizado até que horário?",duvida,baixa,Nexus
"como compartilhar o dashboard com um colega novo da equipe?",duvida,baixa,Forja
"qual a granularidade dos dados de vendas, é diária ou horária?",duvida,baixa,Radar
"como faço para ver os dados de uma filial específica?",duvida,baixa,Nexus
"existe algum limite de registros no export do relatório?",duvida,baixa,Forja
"o campo data_criacao é a data do pedido ou da aprovação?",duvida,baixa,Radar
"como interpreto os dados de churn no painel de clientes?",duvida,baixa,Nexus
"qual a diferença entre receita bruta e receita líquida no relatório?",duvida,baixa,Forja
"posso acessar os dados diretamente pelo BigQuery ou só pelo dashboard?",duvida,baixa,Radar
"como funciona o processo de carga dos dados e qual o horário de atualização?",duvida,baixa,Nexus
"o que significa o status pendente na tabela de cobranças?",duvida,baixa,Forja
"existe documentação sobre os campos da tabela de contratos?",duvida,baixa,Radar
